"trip_id,""starttime"",""stoptime"",""bikeid"",""tripduration"",""from_station_name"",""to_station_name"",""from_station_id"",""to_station_id"",""usertype"",""gender"",""birthyear"""
"431,""10/13/2014 10:31"",""10/13/2014 10:48"",""SEA00298"",985.935,""2nd Ave & Spring St"",""Occidental Park / Occidental Ave S & S Washington St"",""CBD-06"",""PS-04"",""Member"",""Male"",1960"
"432,""10/13/2014 10:32"",""10/13/2014 10:48"",""SEA00195"",926.375,""2nd Ave & Spring St"",""Occidental Park / Occidental Ave S & S Washington St"",""CBD-06"",""PS-04"",""Member"",""Male"",1970"
"433,""10/13/2014 10:33"",""10/13/2014 10:48"",""SEA00486"",883.831,""2nd Ave & Spring St"",""Occidental Park / Occidental Ave S & S Washington St"",""CBD-06"",""PS-04"",""Member"",""Female"",1988"
"434,""10/13/2014 10:34"",""10/13/2014 10:48"",""SEA00333"",865.937,""2nd Ave & Spring St"",""Occidental Park / Occidental Ave S & S Washington St"",""CBD-06"",""PS-04"",""Member"",""Female"",1977"
"435,""10/13/2014 10:34"",""10/13/2014 10:49"",""SEA00202"",923.923,""2nd Ave & Spring St"",""Occidental Park / Occidental Ave S & S Washington St"",""CBD-06"",""PS-04"",""Member"",""Male"",1971"
"436,""10/13/2014 10:34"",""10/13/2014 10:47"",""SEA00337"",808.805,""2nd Ave & Spring St"",""Occidental Park / Occidental Ave S & S Washington St"",""CBD-06"",""PS-04"",""Member"",""Male"",1974"
"437,""10/13/2014 11:35"",""10/13/2014 11:45"",""SEA00202"",596.715,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Male"",1978"
"438,""10/13/2014 11:35"",""10/13/2014 11:45"",""SEA00311"",592.131,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Male"",1983"
"439,""10/13/2014 11:35"",""10/13/2014 11:45"",""SEA00486"",586.347,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Female"",1974"
"440,""10/13/2014 11:35"",""10/13/2014 11:45"",""SEA00434"",587.634,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Male"",1958"
"441,""10/13/2014 11:36"",""10/13/2014 11:45"",""SEA00195"",564.899,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Female"",1983"
"442,""10/13/2014 11:37"",""10/13/2014 11:47"",""SEA00101"",620.141,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Male"",1982"
"443,""10/13/2014 11:37"",""10/13/2014 11:47"",""SEA00461"",634.087,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Male"",1984"
"444,""10/13/2014 11:37"",""10/13/2014 11:47"",""SEA00044"",614.336,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Male"",1955"
"445,""10/13/2014 11:37"",""10/13/2014 11:47"",""SEA00298"",601.463,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Male"",1953"
"446,""10/13/2014 11:37"",""10/13/2014 11:47"",""SEA00106"",618.781,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Female"",1958"
"447,""10/13/2014 11:37"",""10/13/2014 11:47"",""SEA00108"",617.085,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Male"",1959"
"448,""10/13/2014 11:37"",""10/13/2014 11:47"",""SEA00236"",600.05,""Occidental Park / Occidental Ave S & S Washington St"",""King Street Station Plaza / 2nd Ave Extension S & S Jackson St"",""PS-04"",""PS-05"",""Member"",""Male"",1950"
"450,""10/13/2014 11:40"",""10/13/2014 11:49"",""SEA00107"",499.734,""Occidental Park / Occidental Ave S & S Washington St"",""City Hall / 4th Ave & James St"",""PS-04"",""CBD-07"",""Member"",""Female"",1976"
